"","Region","Team"
"208","Midwest","Edgewood"
"209","Midwest","Carthage"
"210","Midwest","Millikin"
"211","Midwest","Wis.-Platteville"
"212","Midwest","Wis.-River Falls"
"213","Midwest","Ripon"
"214","Midwest","Benedictine (Ill.)"
"215","Midwest","Concordia Univ. Chicago"
"216","Midwest","Wisconsin Lutheran"
"217","Midwest","Concordia (Wis.)"
"218","Midwest","Greenville"
"219","Midwest","Aurora"
"220","Midwest","Dominican (Ill.)"
"221","Midwest","Principia"
"222","Midwest","Illinois College"
"223","Midwest","Beloit"
"224","Midwest","Mount Mary"
"225","Great Lakes","John Carroll"
"226","Great Lakes","Baldwin Wallace"
"227","Great Lakes","Oberlin"
"228","Great Lakes","Hope"
"229","Great Lakes","Allegheny"
"230","Great Lakes","Calvin"
"231","Great Lakes","Ohio Northern"
"232","Great Lakes","Otterbein"
"233","Great Lakes","Case Western"
"234","Great Lakes","DePauw"
"235","Great Lakes","Kenyon"
"236","Great Lakes","Manchester"
"237","Great Lakes","Mount Union"
"238","Great Lakes","Trine"
"239","Great Lakes","Hanover"
"240","Great Lakes","Denison"
"241","Great Lakes","St. Mary's (Ind.)"
"242","Great Lakes","Wooster"
"243","Great Lakes","Ohio Wesleyan"
"244","Great Lakes","Wilmington (Ohio)"
"245","Great Lakes","Wittenberg"
"246","Great Lakes","Bluffton"
"247","Great Lakes","Heidelberg"
"248","Great Lakes","Rose-Hulman"
"249","Great Lakes","Alma"
"250","Great Lakes","Kalamazoo"
"251","Great Lakes","Earlham"
"252","Great Lakes","Albion"
"253","Great Lakes","Capital"
"254","Great Lakes","Spalding"
"255","Great Lakes","Franklin"
"256","Great Lakes","Anderson (Ind.)"
"257","Great Lakes","Mount St. Joseph"
"258","Great Lakes","Transylvania"
"259","South","Washington and Lee"
"260","South","Emory"
"261","South","Centre"
"262","South","Trinity (Tex.)"
"263","South","Christopher Newport"
"264","South","Lynchburg"
"265","South","Berry"
"266","South","Rhodes"
"267","South","Shenandoah"
"268","South","Berea"
"269","South","Mary Washington"
"270","South","Southern Virginia"
"271","South","Catholic"
"272","South","U. of the South"
"273","South","Hardin-Simmons"
"274","South","Dallas"
"275","South","Piedmont"
"276","South","Roanoke"
"277","South","Millsaps"
"278","South","UMHB"
"279","South","Bridgewater (Va.)"
"280","South","Meredith"
"281","South","Maryville (Tenn.)"
"282","South","Eastern Mennonite"
"283","South","Methodist"
"284","South","Covenant"
"285","South","Randolph"
"286","South","Concordia (Tex.)"
"287","South","Sweet Briar"
"288","South","Virginia Wesleyan"
"289","South","Agnes Scott"
"290","South","Ferrum"
"291","South","Hendrix"
